fit	g1	tau_exp	Size Distribution	Amplitude Size Dist (au)
1.003	1.0	0.0	1.0	20480.0
0.7179	0.7685707127643582	3.203522818254603e-05	1.048	61200.0
0.6499	0.5744081172488222	6.407045636509207e-05	1.096	121800.0
0.6254	0.5377990730298734	9.61056845476381e-05	1.148	201600.0
0.6122	0.544829637980456	0.00012814091273018413	1.204	299700.0
0.6023	0.5063885757231219	0.00016017614091273015	1.26	414700.0
0.5937	0.5092383815608628	0.0001922113690952762	1.3199999999999998	545100.0
0.5857	0.6373387197795637	0.00022424659727782225	1.3820000000000001	689000.0
0.578	0.7811912814731841	0.00025628182546036827	1.448	844300.0
0.5706	0.7368940248024956	0.0002883170536429143	1.516	1009000.0
0.5634	0.581579606664036	0.0003203522818254603	1.5879999999999999	1179000.0
0.5564	0.49664912939988426	0.0003523875100080064	1.6640000000000001	1354000.0
0.5496	0.47195603156706056	0.0003844227381905524	1.7420000000000002	1528000.0
0.5431	0.43282600526117676	0.0004164579663730984	1.826	1701000.0
0.5367	0.4296160591256921	0.0004484931945556445	1.912	1867000.0
0.5305	0.526525115871209	0.0004805284227381905	2.0	2024000.0
0.5244	0.6733684078667466	0.0005125636509207365	2.1	2169000.0
0.5186	0.7079731930348316	0.0005445988791032826	2.2	2298000.0
0.5129	0.594012276086687	0.0005766341072858286	2.3	2408000.0
0.5073	0.4940655142177093	0.0006086693354683746	2.4	2497000.0
0.5019	0.44690279343603834	0.0006407045636509206	2.52	2562000.0
0.4967	0.38873230615035936	0.0006727397918334667	2.6399999999999997	2600000.0
0.4916	0.369175122134493	0.0007047750200160128	2.76	2609000.0
0.4866	0.44527433295752417	0.0007368102481985588	2.9	2590000.0
0.4818	0.5794031066016032	0.0007688454763811048	3.04	2540000.0
0.4771	0.6602467743955458	0.0008008807045636508	3.18	2461000.0
0.4725	0.6121445571839104	0.0008329159327461968	3.34	2353000.0
0.4681	0.5146874608540202	0.0008649511609287429	3.48	2217000.0
0.4637	0.44596329700607384	0.000896986389111289	3.66	2056000.0
0.4595	0.37044344231480864	0.000929021617293835	3.82	1875000.0
0.4554	0.3291525742201884	0.000961056845476381	4.0	1676000.0
0.4514	0.38254728798665383	0.000993092073658927	4.2	1465000.0
0.4475	0.4956783164220724	0.001025127301841473	4.4	1247000.0
0.4437	0.5895809845919757	0.0010571625300240192	4.6	1030000.0
0.44	0.6103438556933725	0.001089197758206565	4.82	819800.0
0.4363	0.5407428285102469	0.0011212329863891112	5.06	622900.0
0.4328	0.4588500563695561	0.0011532682145716571	5.3	446000.0
0.4294	0.3626143053988926	0.0011853034427542033	5.54	294900.0
0.426	0.3015313791806875	0.0012173386709367492	5.8	174300.0
0.4227	0.33153263184249226	0.0012493738991192953	6.08	86370.0
0.4195	0.4197513466115197	0.0012814091273018412	6.36	31530.0
0.4164	0.5072028059626064	0.0013134443554843874	6.659999999999999	5291.0
0.4133	0.5755198546912652	0.0013454795836669335	6.98	0.0
0.4103	0.5656708004507891	0.0013775148118494794	7.32	0.0
0.4074	0.4795816109231055	0.0014095500400320255	7.659999999999999	0.0
0.4046	0.3654954277840261	0.0014415852682145714	8.02	0.0
0.4018	0.2883314543405504	0.0014736204963971176	8.4	0.0
0.3991	0.2975541776272621	0.0015056557245796635	8.8	0.0
0.3964	0.3627552298635237	0.0015376909527622096	9.22	0.0
0.3938	0.42873919579096764	0.0015697261809447557	9.66	0.0
0.3912	0.5151102342474587	0.0016017614091273016	10.12	0.0
0.3887	0.5709789552797702	0.0016337966373098478	10.6	0.0
0.3863	0.5113209319802081	0.0016658318654923937	11.1	0.0
0.3839	0.3813729174494256	0.0016978670936749398	11.620000000000001	0.0
0.3816	0.2821464361768449	0.0017299023218574857	12.18	0.0
0.3793	0.27010522359978495	0.0017619375500400318	12.76	0.0
0.377	0.3143711637226261	0.001793972778222578	13.36	0.0
0.3748	0.35807340598739756	0.0018260080064051239	13.98	0.0
0.3727	0.4369754478266259	0.00185804323458767	14.64	0.0
0.3705	0.5473662783415421	0.001890078462770216	15.34	0.0
0.3685	0.5374232744579786	0.001922113690952762	16.080000000000002	0.0
0.3664	0.4047820368282373	0.001954148919135308	16.84	0.0
0.3644	0.28840974570948674	0.001986184147317854	17.62	0.0
0.3624	0.2539302267318817	0.0020182193755004002	18.46	0.0
0.3605	0.27452085682079996	0.002050254603682946	19.34	0.0
0.3586	0.2963015157206428	0.002082289831865492	20.200000000000003	0.0
0.3568	0.3542058123512106	0.0021143250600480384	21.2	0.0
0.3549	0.4799887260428477	0.0021463602882305843	22.2	0.0
0.3531	0.5388325191029253	0.00217839551641313	23.2	0.0
0.3514	0.43049292245996185	0.002210430744595676	24.4	0.0
0.3496	0.2972566704243036	0.0022424659727782225	25.6	0.0
0.3479	0.24011962921213126	0.0022745012009607684	26.8	0.0
0.3463	0.24163848177340697	0.0023065364291433143	28.0	0.0
0.3446	0.24179506451173438	0.0023385716573258606	29.4	0.0
0.343	0.2812852311158167	0.0023706068855084065	30.8	0.0
0.3414	0.4015407741449053	0.0024026421136909525	32.2	0.0
0.3398	0.5131059751970497	0.0024346773418734984	33.8	0.0
0.3382	0.45564011023407147	0.0024667125700560447	35.2	0.0
0.3367	0.31739321057239067	0.0024987477982385906	37.0	0.0
0.3352	0.2420925717146929	0.0025307830264211365	38.800000000000004	0.0
0.3337	0.21970124013523673	0.0025628182546036824	40.6	0.0
0.3323	0.20261806338476163	0.002594853482786229	42.4	0.0
0.3308	0.2233183013904636	0.0026268887109687747	44.4	0.0
0.3294	0.3220906927217584	0.0026589239391513206	46.6	0.0
0.328	0.4558906426154863	0.002690959167333867	48.8	0.0
0.3266	0.46682011775010324	0.002722994395516413	51.2	0.0
0.3252	0.34751972942467546	0.002755029623698959	53.6	0.0
0.3239	0.2548384066139988	0.0027870648518815047	56.0	0.0
0.3226	0.20925717148929834	0.002819100080064051	58.8	0.0
0.3213	0.17288300137761325	0.002851135308246597	61.6	0.0
0.32	0.17490291870217334	0.002883170536429143	64.4	0.0
0.3187	0.25247400726539126	0.002915205764611689	67.39999999999999	0.0
0.3174	0.380887510960747	0.002947240992794235	70.60000000000001	0.0
0.3162	0.44790492296124285	0.002979276220976781	74.0	0.0
0.3149	0.37562633095330966	0.003011311449159327	77.60000000000001	0.0
0.3137	0.2768382813478638	0.0030433466773418733	81.2	0.0
0.3125	0.2116372291116022	0.003075381905524419	85.0	0.0
0.3113	0.15594074909176925	0.003107417133706965	89.0	0.0
0.3101	0.13484905424002136	0.0031394523618895115	93.2	0.0
0.3089	0.1877896780656556	0.0031714875900720574	97.8	0.0
0.3078	0.29888513090281776	0.0032035228182546033	102.4	0.0
0.3066	0.39436928472969157	0.003235558046437149	107.2	83.47
0.3055	0.3871664787670852	0.0032675932746196955	112.19999999999999	39950.0
0.3044	0.2973036452458473	0.0032996285028022414	117.6	107400.0
0.3033	0.21755605662019661	0.0033316637309847874	123.2	177200.0
0.3022	0.14526180633811236	0.0033636989591673337	129.0	221400.0
0.3011	0.10334460729018247	0.0033957341873498796	135.0	218600.0
0.3	0.13372165852433682	0.0034277694155324255	141.4	172300.0
0.2989	0.22239446323419543	0.0034598046437149714	148.20000000000002	98470.0
0.2979	0.3203682826001568	0.0034918398718975178	155.20000000000002	30570.0
0.2968	0.37542277339343855	0.0035238751000800637	162.6	0.0
0.2958	0.32550419641711414	0.0035559103282626096	170.2	0.0
0.2947	0.23611111111085847	0.003587945556445156	178.39999999999998	0.0
0.2937	0.14632656895901164	0.003619980784627702	186.8	0.0
0.2927	0.08632406363494738	0.0036520160128102478	195.6	0.0
0.2917	0.09880370787914217	0.0036840512409927937	204.0	0.0
0.2907	0.16679193285699512	0.00371608646917534	213.99999999999997	0.0
0.2897	0.25098647125105344	0.003748121697357886	224.0	0.0
0.2887	0.34012902417634905	0.003780156925540432	236.0	0.0
0.2877	0.35339158211172617	0.0038121921537229778	246.00000000000003	0.0
0.2868	0.2735030690214444	0.003844227381905524	258.0	0.0
0.2858	0.1659620443442691	0.00387626261008807	270.0	0.0
0.2849	0.09078667167705134	0.003908297838270616	284.0	0.0
0.2839	0.08377176500061978	0.003940333066453162	296.0	0.0
0.283	0.12824126268287728	0.003972368294635708	310.0	0.0
0.282	0.18995051985439204	0.004004403522818254	326.0	0.0
0.2811	0.2823343354625649	0.0040364387510008004	340.0	0.0
0.2802	0.35993674057363023	0.004068473979183346	358.0	0.0
0.2793	0.31341600901896527	0.004100509207365892	374.0	0.0
0.2784	0.19262808467965442	0.004132544435548439	392.0	0.0
0.2775	0.09739446323419543	0.004164579663730984	410.0	0.0
0.2766	0.07312413879481028	0.00419661489191353	430.0	0.0
0.2757	0.09116247024894619	0.004228650120096077	450.0	0.0
0.2748	0.12817862958763726	0.004260685348278622	472.0	0.0
0.2739	0.2096329700611932	0.004292720576461169	494.0	0.0
0.2731	0.3232024301637466	0.004324755804643714	518.0	0.0
0.2722	0.3331454340473101	0.00435679103282626	542.0	0.0
0.2713	0.219528999123213	0.004388826261008807	568.0	0.0
0.2705	0.11335024426898599	0.004420861489191352	594.0	0.0
0.2696	0.06703307027419214	0.004452896717373899	621.9999999999999	0.0
0.2688	0.0636352248525327	0.004484931945556445	652.0	0.0
0.2679	0.0797162720778033	0.00451696717373899	682.0	0.0
0.2671	0.14238068395343362	0.004549002401921537	714.0	0.0
0.2663	0.26296505073287335	0.004581037630104083	748.0	42390.0
0.2654	0.33535325065759025	0.004613072858286629	784.0	317000.0
0.2646	0.2536014029810758	0.004645108086469175	822.0000000000001	904600.0
0.2638	0.1371508204933889	0.004677143314651721	860.0	1863000.0
0.263	0.0733276963546814	0.004709178542834267	902.0	3240000.0
0.2622	0.04998121007110967	0.004741213771016813	944.0	5083000.0
0.2614	0.050873731679530465	0.004773248999199359	988.0	7424000.0
0.2606	0.09106852060631354	0.004805284227381905	1036.0	10280000.0
0.2598	0.19906363522477477	0.004837319455564451	1084.0	13600000.0
0.259	0.3127270449704156	0.004869354683746997	1136.0	17360000.0
0.2582	0.2900382061880009	0.004901389911929543	1190.0	21470000.0
0.2574	0.1783790554927691	0.004933425140112089	1246.0	25850000.0
0.2566	0.09861580859296737	0.004965460368294635	1304.0	30450000.0
0.2558	0.05851496930972644	0.004997495596477181	1366.0000000000002	35180000.0
0.2551	0.0351528247524584	0.005029530824659728	1432.0	39960000.0
0.2543	0.05328510584968171	0.005061566052842273	1499.9999999999998	44730000.0
0.2535	0.14231805085773885	0.005093601281024819	1570.0	49420000.0
0.2528	0.2641863960916453	0.005125636509207365	1644.0000000000002	53970000.0
0.252	0.3056651634724403	0.005157671737389911	1722.0000000000002	58320000.0
0.2512	0.21901227608668705	0.005189706965572458	1804.0	62410000.0
0.2505	0.12626832018031564	0.005221742193755003	1890.0000000000002	66200000.0
0.2497	0.0705405236126353	0.005253777421937549	1979.9999999999998	69640000.0
0.249	0.02924965551801506	0.005285812650120096	2080.0	72700000.0
0.2482	0.025429036702917074	0.005317847878302641	2180.0	75360000.0
0.2475	0.09200801703627803	0.005349883106485188	2280.0	77570000.0
0.2468	0.2051547037453929	0.005381918334667734	2380.0	79350000.0
0.246	0.29295064512052704	0.005413953562850279	2500.0	80660000.0
0.2453	0.2622447701364763	0.005445988791032826	2620.0000000000005	81500000.0
0.2446	0.16923462357499375	0.005478024019215372	2740.0	81880000.0
0.2438	0.0981773769258325	0.005510059247397918	2860.0	81790000.0
0.2431	0.037673806839393364	0.005542094475580464	2999.9999999999995	81240000.0
0.2424	0.019384943003842636	0.005574129703763009	3140.0	80250000.0
0.2417	0.06119253413498882	0.005606164931945556	3300.0	78840000.0
0.241	0.1544375548037351	0.005638200160128102	3440.0	77030000.0
0.2403	0.25984905424002136	0.0056702353883106476	3620.0	74830000.0
0.2396	0.29439120631332116	0.005702270616493194	3780.0000000000005	72280000.0
0.2389	0.222942502818114	0.00573430584467574	3959.9999999999995	69400000.0
0.2382	0.13763622698206746	0.005766341072858286	4160.0	66230000.0
0.2375	0.06776900914428552	0.005798376301040832	4340.0	62790000.0
0.2368	0.029233997243863996	0.005830411529223378	4560.0	59120000.0
0.2361	0.04797695102070065	0.005862446757405924	4760.0	55250000.0
0.2354	0.1189872228483182	0.00589448198558847	5000.0	51230000.0
0.2347	0.217587373168044	0.005926517213771017	5240.000000000001	47080000.0
0.234	0.3010772892394016	0.005958552441953562	5480.0	42850000.0
0.2333	0.2784510835522269	0.005990587670136108	5740.0	38580000.0
0.2327	0.18955906300880088	0.006022622898318654	5999.999999999999	34310000.0
0.232	0.10160653889488458	0.0060546581265012	6300.0	30100000.0
0.2313	0.04714706250751988	0.006086693354683747	6600.0	25970000.0
0.2306	0.0417292997617551	0.006118728582866292	6900.0	21980000.0
0.23	0.08749843417263037	0.006150763811048838	7240.0	18170000.0
0.2293	0.16748089690599954	0.006182799039231385	7580.0	14590000.0
0.2286	0.27027746461226343	0.00621483426741393	7940.0	11290000.0
0.228	0.308295753476159	0.0062468694955964766	8300.0	8309000.0
0.2273	0.23601716146777107	0.006278904723779023	8700.0	5705000.0
0.2267	0.14039208317672092	0.006310939951961568	9120.0	3522000.0
0.226	0.06718965301251956	0.006342975180144115	9540.0	1811000.0
0.2253	0.04237128898876108	0.00637501040832666	10000.0	620400.0
0.2247	0.0675184767628707	0.0064070456365092066	None	None
0.224	0.12725479143182383	0.006439080864691753	None	None
0.2234	0.2202805962670027	0.006471116092874298	None	None
0.2228	0.3119441312787785	0.006503151321056845	None	None
0.2221	0.28493360891889097	0.006535186549239391	None	None
0.2215	0.18357760240496646	0.0065672217774219365	None	None
0.2208	0.09709695603123691	0.006599257005604483	None	None
0.2202	0.053457346861705446	0.006631292233787029	None	None
0.2196	0.060628836276919174	0.006663327461969575	None	None
0.219	0.0962357509706635	0.006695362690152121	None	None
0.2183	0.1764687460854475	0.006727397918334667	None	None
0.2177	0.2879086809466571	0.006759433146517213	None	None
0.2171	0.32415758486786217	0.006791468374699759	None	None
0.2165	0.24079293498652987	0.006823503602882305	None	None
0.2158	0.13898283853177418	0.006855538831064851	None	None
0.2152	0.08032694475741664	0.006887574059247397	None	None
0.2146	0.06512276086687052	0.006919609287429943	None	None
0.214	0.08071840160346255	0.006951644515612489	None	None
0.2134	0.13782412626824225	0.0069836797437950356	None	None
0.2128	0.24566265814837607	0.007015714971977581	None	None
0.2122	0.3348991607163043	0.007047750200160127	None	None
0.2116	0.291525742201884	0.007079785428342674	None	None
0.211	0.18780533633935192	0.007111820656525219	None	None
0.2104	0.11309971188757117	0.0071438558847077656	None	None
0.2098	0.07743016409858683	0.007175891112890312	None	None
0.2092	0.07201240135282205	0.007207926341072857	None	None
0.2086	0.1097175247400628	0.007239961569255404	None	None
0.208	0.19803018915172288	0.007271996797437949	None	None
0.2074	0.311004634848814	0.0073040320256204955	None	None
0.2068	0.3310472253538137	0.007336067253803042	None	None
0.2062	0.23874170111457715	0.007368102481985587	None	None
0.2056	0.15320055117126685	0.007400137710168134	None	None
0.2051	0.10044782663135265	0.00743217293835068	None	None
0.2045	0.07912125767234102	0.0074642081665332255	None	None
0.2039	0.09282224727530775	0.007496243394715772	None	None
0.2033	0.16065388951528803	0.007528278622898318	None	None
0.2028	0.2743955906298652	0.007560313851080864	None	None
0.2022	0.3481460603779851	0.00759234907926341	None	None
0.2016	0.2938588250030989	0.0076243843074459555	None	None
0.201	0.20075472879852896	0.007656419535628502	None	None
0.2005	0.13297006138009237	0.007688454763811048	None	None
0.1999	0.09405925090823075	0.007720489991993594	None	None
0.1993	0.09016034072374168	0.00775252522017614	None	None
0.1988	0.13556933483641842	0.007784560448358686	None	None
0.1982	0.23459225854912802	0.007816595676541232	None	None
0.1977	0.33825003131642006	0.007848630904723777	None	None
0.1971	0.34465426531369303	0.007880666132906325	None	None
0.1966	0.2597237880495413	0.00791270136108887	None	None
0.196	0.18008580734067436	0.007944736589271416	None	None
0.1955	0.12359075535505326	0.007976771817453963	None	None
0.1949	0.10083928347739857	0.008008807045636508	None	None
0.1944	0.12338719779518215	0.008040842273819054	None	None
0.1938	0.19746649129365323	0.008072877502001601	None	None
0.1933	0.3031598396592017	0.008104912730184146	None	None
0.1927	0.36566766879604984	0.008136947958366692	None	None
0.1922	0.3148565702117594	0.008168983186549239	None	None
0.1917	0.22563572591752745	0.008201018414731785	None	None
0.1911	0.1525898784916535	0.00823305364291433	None	None
0.1906	0.11020293122874136	0.008265088871096877	None	None
0.1901	0.11400789176968829	0.008297124099279423	None	None
0.1895	0.16669798321436247	0.008329159327461968	None	None
0.189	0.25814230239257085	0.008361194555644515	None	None
0.1885	0.3540492296128832	0.00839322978382706	None	None
0.1879	0.35988976575208653	0.008425265012009606	None	None
0.1874	0.27812225980187577	0.008457300240192154	None	None
0.1869	0.194413127896496	0.008489335468374699	None	None
0.1864	0.1332205937615072	0.008521370696557245	None	None
0.1859	0.11739007891765141	0.008553405924739792	None	None
0.1853	0.14905110860581772	0.008585441152922337	None	None
0.1848	0.2193880746585819	0.008617476381104883	None	None
0.1843	0.3203526243264605	0.008649511609287428	None	None
0.1838	0.38329888513089827	0.008681546837469975	None	None
0.1833	0.331704872854516	0.00871358206565252	None	None
0.1828	0.23928974069895048	0.008745617293835066	None	None
0.1823	0.1650225479143046	0.008777652522017614	None	None
0.1818	0.1305743454840922	0.008809687750200159	None	None
0.1813	0.14148816234501282	0.008841722978382704	None	None
0.1807	0.19084304146281283	0.008873758206565252	None	None
0.1802	0.27885819867196915	0.008905793434747797	None	None
0.1797	0.37816297131394094	0.008937828662930343	None	None
0.1792	0.38126330953264187	0.00896986389111289	None	None
0.1788	0.29114994362998914	0.009001899119295435	None	None
0.1783	0.20477890517349806	0.00903393434747798	None	None
0.1778	0.1550795440307411	0.009065969575660528	None	None
0.1773	0.14643617687579535	0.009098004803843074	None	None
0.1768	0.17282036828237324	0.009130040032025619	None	None
0.1763	0.2396029061756053	0.009162075260208166	None	None
0.1758	0.34679944882873315	0.009194110488390712	None	None
0.1753	0.406817612426039	0.009226145716573257	None	None
0.1748	0.34412188400347077	0.009258180944755804	None	None
0.1743	0.24888826255801177	0.00929021617293835	None	None
0.1739	0.18212138293847602	0.009322251401120895	None	None
0.1734	0.15752223474873972	0.009354286629303443	None	None
0.1729	0.16495991481906458	0.009386321857485988	None	None
0.1724	0.20861518226229236	0.009418357085668533	None	None
0.172	0.3060722785917278	0.009450392313851079	None	None
0.1715	0.40808593260680937	0.009482427542033626	None	None
0.171	0.39534009770750345	0.009514462770216172	None	None
0.1705	0.30184454465734234	0.009546497998398717	None	None
0.1701	0.22483715395219406	0.009578533226581264	None	None
0.1696	0.18332707002355164	0.00961056845476381	None	None
0.1691	0.17137980709003386	0.009642603682946355	None	None
0.1687	0.1935519228359226	0.009674638911128903	None	None
0.1682	0.27038707252904715	0.009706674139311448	None	None
0.1677	0.3843793060250391	0.009738709367493993	None	None
0.1673	0.4309626706749441	0.00977074459567654	None	None
0.1668	0.3593887009892569	0.009802779823859086	None	None
0.1664	0.2746148064634326	0.009834815052041632	None	None
0.1659	0.21879306025266487	0.009866850280224179	None	None
0.1655	0.18890141550764383	0.009898885508406724	None	None
0.165	0.1919078040837121	0.00993092073658927	None	None
0.1645	0.2451615933860012	0.009962955964771817	None	None
0.1641	0.3501659777025452	0.009994991192954363	None	None
0.1636	0.4415633220592099	0.010027026421136908	None	None
0.1632	0.4145371414251713	0.010059061649319455	None	None
0.1628	0.32750845546752316	0.010091096877502	None	None
0.1623	0.260412752098091	0.010123132105684546	None	None
0.1619	0.21129274708755474	0.010155167333867093	None	None
0.1614	0.1923149192029996	0.010187202562049639	None	None
0.161	0.22339659275939994	0.010219237790232184	None	None
0.1605	0.31036264562180804	0.01025127301841473	None	None
0.1601	0.4149285982712172	0.010283308246597277	None	None
0.1597	0.4433483652760515	0.010315343474779822	None	None
0.1592	0.3738099711886207	0.010347378702962368	None	None
0.1588	0.29980896905908594	0.010379413931144915	None	None
0.1584	0.23690968307619187	0.01041144915932746	None	None
0.1579	0.19950206689190964	0.010443484387510006	None	None
0.1575	0.21209131905288814	0.010475519615692553	None	None
0.1571	0.27632155831133787	0.010507554843875099	None	None
0.1566	0.37536014029819853	0.010539590072057644	None	None
0.1562	0.4502223474883067	0.010571625300240192	None	None
0.1558	0.42297695102070065	0.010603660528422737	None	None
0.1554	0.34867844168866213	0.010635695756605282	None	None
0.1549	0.279296630339104	0.01066773098478783	None	None
0.1545	0.22286421144917767	0.010699766212970375	None	None
0.1541	0.21096392333674885	0.01073180144115292	None	None
0.1537	0.2557465864961159	0.010763836669335468	None	None
0.1533	0.3394244018536483	0.010795871897518013	None	None
0.1528	0.432700739070242	0.010827907125700559	None	None
0.1524	0.4604315420265266	0.010859942353883106	None	None
0.152	0.40082049354850824	0.010891977582065651	None	None
0.1516	0.3210885631965539	0.010924012810248197	None	None
0.1512	0.2509394964299645	0.010956048038430744	None	None
0.1508	0.21882437680051225	0.01098808326661329	None	None
0.1504	0.24273456094169887	0.011020118494795835	None	None
0.15	0.30583740448446406	0.011052153722978382	None	None
0.1496	0.3920675184767788	0.011084188951160928	None	None
0.1492	0.46592759614168244	0.011116224179343473	None	None
0.1488	0.4422679443814559	0.011148259407526019	None	None
0.1484	0.363287611173746	0.011180294635708566	None	None
0.148	0.28000125266180476	0.011212329863891111	None	None
0.1476	0.22707628710986683	0.011244365092073657	None	None
0.1472	0.2317737692596893	0.011276400320256204	None	None
0.1468	0.2725635725914799	0.01130843554843875	None	None
0.1464	0.3416165601902321	0.011340470776621295	None	None
0.146	0.43825942628063785	0.011372506004803842	None	None
0.1456	0.4730990855564414	0.011404541232986388	None	None
0.1452	0.40509520230489215	0.011436576461168933	None	None
0.1448	0.31225729675543334	0.01146861168935148	None	None
0.1444	0.2469309783286917	0.011500646917534026	None	None
0.144	0.23415382688199315	0.011532682145716571	None	None
0.1436	0.25490103970923883	0.011564717373899119	None	None
0.1432	0.30389577852929506	0.011596752602081664	None	None
0.1428	0.3977358136039584	0.01162878783026421	None	None
0.1425	0.48227483402206417	0.011660823058446757	None	None
0.1421	0.44865652010503254	0.011692858286629302	None	None
0.1417	0.3528905173493513	0.011724893514811848	None	None
0.1413	0.2777934360515246	0.011756928742994395	None	None
0.1409	0.2462263560064457	0.01178896397117694	None	None
0.1406	0.2470562445196265	0.011820999199359486	None	None
0.1402	0.27163973443566647	0.011853034427542033	None	None
0.1398	0.3494770136539955	0.011885069655724579	None	None
0.1394	0.4607760240510288	0.011917104883907124	None	None
0.1391	0.48315169735678865	0.01194914011208967	None	None
0.1387	0.3942753350870589	0.011981175340272217	None	None
0.1383	0.3108323938367903	0.012013210568454762	None	None
0.1379	0.2614931729926866	0.012045245796637308	None	None
0.1376	0.24317299260928849	0.012077281024819855	None	None
0.1372	0.24808969059222363	0.0121093162530024	None	None
0.1368	0.30087373167953047	0.012141351481184946	None	None
0.1365	0.4111079794561192	0.012173386709367493	None	None
0.1361	0.48150757860457816	0.012205421937550039	None	None
0.1357	0.4214580984589702	0.012237457165732584	None	None
0.1354	0.3338030815480124	0.012269492393915131	None	None
0.135	0.2739101841411866	0.012301527622097677	None	None
0.1347	0.23744206438686888	0.012333562850280222	None	None
0.1343	0.2214236502568383	0.01236559807846277	None	None
0.1339	0.2528498058372861	0.012397633306645315	None	None
0.1336	0.35141863960916453	0.01242966853482786	None	None
0.1332	0.45283727921832906	0.012461703763010408	None	None
0.1329	0.44098396592744393	0.012493738991192953	None	None
0.1325	0.3578385318801338	0.012525774219375499	None	None
0.1322	0.29578479268411684	0.012557809447558046	None	None
0.1318	0.24552173368374497	0.012589844675740591	None	None
0.1315	0.20517036201908923	0.012621879903923137	None	None
0.1311	0.2155987723913313	0.012653915132105684	None	None
0.1308	0.2975385193535658	0.01268595036028823	None	None
0.1304	0.4036859576599454	0.012717985588470775	None	None
0.1301	0.4456971063509627	0.01275002081665332	None	None
0.1297	0.3898440435923476	0.012782056044835868	None	None
0.1294	0.32473694099962813	0.012814091273018413	None	None
0.129	0.26377928097190306	0.012846126501200959	None	None
0.1287	0.20340097707594396	0.012878161729383506	None	None
0.1283	0.1974821495678043	0.012910196957566051	None	None
0.128	0.25695227358119155	0.012942232185748597	None	None
